date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:43:23	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Sun,%2016%20Nov%202025%2018:43:19%20GMT	https://docs.turboassure.com/current/reference/sql/sql-functions/functions/CAST	C:/My%20Web%20Sites/TurboAssureDocs/docs.turboassure.com/current/reference/sql/sql-functions/functions/CAST	(from https://docs.turboassure.com/current/reference/sql/sql-functions/functions/ARRAY_COMPACT/)
19:43:23	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Sun,%2016%20Nov%202025%2018:43:19%20GMT	https://docs.turboassure.com/current/reference/sql/sql-functions/functions/CBRT	C:/My%20Web%20Sites/TurboAssureDocs/docs.turboassure.com/current/reference/sql/sql-functions/functions/CBRT	(from https://docs.turboassure.com/current/reference/sql/sql-functions/functions/ARRAY_COMPACT/)
19:43:23	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Sun,%2016%20Nov%202025%2018:43:20%20GMT	https://docs.turboassure.com/current/reference/sql/sql-functions/functions/CEILING	C:/My%20Web%20Sites/TurboAssureDocs/docs.turboassure.com/current/reference/sql/sql-functions/functions/CEILING	(from https://docs.turboassure.com/current/reference/sql/sql-functions/functions/ARRAY_COMPACT/)
19:43:24	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Sun,%2016%20Nov%202025%2018:43:20%20GMT	https://docs.turboassure.com/current/reference/sql/sql-functions/functions/CHARACTER_LENGTH	C:/My%20Web%20Sites/TurboAssureDocs/docs.turboassure.com/current/reference/sql/sql-functions/functions/CHARACTER_LENGTH	(from https://docs.turboassure.com/current/reference/sql/sql-functions/functions/ARRAY_COMPACT/)
19:43:24	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Sun,%2016%20Nov%202025%2018:43:20%20GMT	https://docs.turboassure.com/current/reference/sql/sql-functions/functions/CHAR_LENGTH	C:/My%20Web%20Sites/TurboAssureDocs/docs.turboassure.com/current/reference/sql/sql-functions/functions/CHAR_LENGTH	(from https://docs.turboassure.com/current/reference/sql/sql-functions/functions/ARRAY_COMPACT/)
19:43:24	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Sun,%2016%20Nov%202025%2018:43:20%20GMT	https://docs.turboassure.com/current/reference/sql/sql-functions/functions/CHR	C:/My%20Web%20Sites/TurboAssureDocs/docs.turboassure.com/current/reference/sql/sql-functions/functions/CHR	(from https://docs.turboassure.com/current/reference/sql/sql-functions/functions/ARRAY_COMPACT/)
19:43:25	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Sun,%2016%20Nov%202025%2018:43:21%20GMT	https://docs.turboassure.com/current/reference/sql/sql-functions/functions/COALESCE	C:/My%20Web%20Sites/TurboAssureDocs/docs.turboassure.com/current/reference/sql/sql-functions/functions/COALESCE	(from https://docs.turboassure.com/current/reference/sql/sql-functions/functions/ARRAY_COMPACT/)
19:43:25	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Sun,%2016%20Nov%202025%2018:43:21%20GMT	https://docs.turboassure.com/current/reference/sql/sql-functions/functions/COL_LIKE	C:/My%20Web%20Sites/TurboAssureDocs/docs.turboassure.com/current/reference/sql/sql-functions/functions/COL_LIKE	(from https://docs.turboassure.com/current/reference/sql/sql-functions/functions/ARRAY_COMPACT/)
19:43:25	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Sun,%2016%20Nov%202025%2018:43:22%20GMT	https://docs.turboassure.com/current/reference/sql/sql-functions/functions/CONCAT	C:/My%20Web%20Sites/TurboAssureDocs/docs.turboassure.com/current/reference/sql/sql-functions/functions/CONCAT	(from https://docs.turboassure.com/current/reference/sql/sql-functions/functions/ARRAY_COMPACT/)
19:43:25	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Sun,%2016%20Nov%202025%2018:43:22%20GMT	https://docs.turboassure.com/current/reference/sql/sql-functions/functions/CONCAT_WS	C:/My%20Web%20Sites/TurboAssureDocs/docs.turboassure.com/current/reference/sql/sql-functions/functions/CONCAT_WS	(from https://docs.turboassure.com/current/reference/sql/sql-functions/functions/ARRAY_COMPACT/)
19:43:26	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Sun,%2016%20Nov%202025%2018:43:22%20GMT	https://docs.turboassure.com/current/reference/sql/sql-functions/functions/CONTAINS	C:/My%20Web%20Sites/TurboAssureDocs/docs.turboassure.com/current/reference/sql/sql-functions/functions/CONTAINS	(from https://docs.turboassure.com/current/reference/sql/sql-functions/functions/ARRAY_COMPACT/)
19:43:26	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Sun,%2016%20Nov%202025%2018:43:22%20GMT	https://docs.turboassure.com/current/reference/sql/sql-functions/functions/CONVERT_FROM	C:/My%20Web%20Sites/TurboAssureDocs/docs.turboassure.com/current/reference/sql/sql-functions/functions/CONVERT_FROM	(from https://docs.turboassure.com/current/reference/sql/sql-functions/functions/ARRAY_COMPACT/)
19:43:26	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Sun,%2016%20Nov%202025%2018:43:22%20GMT	https://docs.turboassure.com/current/reference/sql/sql-functions/functions/CONVERT_REPLACEUTF8	C:/My%20Web%20Sites/TurboAssureDocs/docs.turboassure.com/current/reference/sql/sql-functions/functions/CONVERT_REPLACEUTF8	(from https://docs.turboassure.com/current/reference/sql/sql-functions/functions/ARRAY_COMPACT/)
19:43:26	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Sun,%2016%20Nov%202025%2018:43:23%20GMT	https://docs.turboassure.com/current/reference/sql/sql-functions/functions/CONVERT_TIMEZONE	C:/My%20Web%20Sites/TurboAssureDocs/docs.turboassure.com/current/reference/sql/sql-functions/functions/CONVERT_TIMEZONE	(from https://docs.turboassure.com/current/reference/sql/sql-functions/functions/ARRAY_COMPACT/)
19:43:27	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Sun,%2016%20Nov%202025%2018:43:23%20GMT	https://docs.turboassure.com/current/reference/sql/sql-functions/functions/CONVERT_TO	C:/My%20Web%20Sites/TurboAssureDocs/docs.turboassure.com/current/reference/sql/sql-functions/functions/CONVERT_TO	(from https://docs.turboassure.com/current/reference/sql/sql-functions/functions/ARRAY_COMPACT/)
